ប្រដែ: brodae
ភូស: phus
កោះអណ្ដែត: kohondet
សេចនកិច្ច: sechnokechch
ទៀបកោះ: tiebkos
វឹកវរ: vuekavor
ពន្លូត: ponlut
ទោសការណ៍: touskar
ប្របែល: brobael
សង្គាហក: sangkeahak
ប្រជាជន: pjea jun
អចលន: aachalon
ស្មាទាន: smatean
ធំ: thom
អុចអាល: aochaaal
ទទួលទាន: totuoltean
អ៊‌ឹម: aoem
ឫក្សពារ: ryksopear
ផ្ដៀងផ្ដង: phdeangpdang
ញ៉ម: nhom
រកឹង: rokoeng
ប្រសាទ: brasat
សកទាគាមី: sakateakeami
ព្រឹសភៈ: preusopheak
ត្រឡប់: trolob
រំលៀក: romleak
លំទោន: lumtoun
សប: sob
ហង្ស: hang
ស្រេង: sreng
សត្វ: sat
រលកកែវ: rolokokaev
ជុំ: jom
កងចៅ: kongchau
អតេកិច្ឆ: aatekechchhar
សសោះ: sasaoh
ប៉ុយ: boy
ក្រពក: kropok
ឃ្លា: khlea
ប៉ប្លក់: boblok
តថានុរូប: tothanurub
ប៉ផុត: bophot
ឱស្រព: osrop
ទម្លាប់: tlorb
ផលិតផល: porlirtaporl
រំអិល: romael
ពិជិតរដ្ឋ: pichitrodthar
រង្វាស់: rongveas
ឥដ្ឋារម្មណ៍: idtharmmon
សាមគ្គីភេទ: samkkiphet
ផាណិត: phanit
លេខា: lekha
ល្មីល្មើ: lmilmau
ទើរ: taur
សញ្ចារ: sonhchear
យាគូ: yaku
វិញ្ញាតកម្ម: vinhnheatkomm
លុបន័យ: lubaney
ហំ: horm
ក្រឡាញ់: kralanh
ចោរឃាតកម្ម: chaorkheatkomm
ពិតពិល: pitopil
អត្ថា: aattha
ប្រការ: brakar
ហេមវ័ន្ត: hemavorn
អន្ធ: aonthor
ប៉ប៉ិច: bapech
សង្កត់: sangkot
សូវៗ: souv
ការបោះបង់: karbosbong
លាសន: leason
សំគាល់: samkeal
ច្បង: chbong
រើសអើង: rausoaaeung
ភ្លឹមៗ: phluem
ប្រឡិមប្រឡុំ: bralembralom
ខាតបង់: khatbang
មាត់ដង្កាប់: meatdngkeab
ព្រៃនគរ: preynokor
មនុស្ស: monus
អានិសង្ស: aanisangsor
ជនជាតិ: choncheate
សទ្ទជាតិ: sattocheate
អង្គុយ: ongkuy
អន្ធិល: aanthil
អយ្យ: aoyy
ឆន្នអាមាត្យ: chhonnoaamath
បញ្ច: banhchor
សង់ជ្រោង: sangochroung
ប្រវ័ញ្ចន៍: bravoanh
ព្យញ្ជនៈ: pyonhchoneak
រូបិយ: rubey
ជាយ: cheay
អបរគោយាន: aabarokouyean
រគាម: rokeam
បន្លែបង្ការ: banleaebngkar
កណ្ដោច: kondaoch
ទូកដរ: tukadar
ផត: phot
អកនិដ្ឋា: aakanidtha
កម្ចាត់: komchat
ភ្នេន: phnen
ហ៊ៅ: hau
អន្តរាយិកធម៌: aantoreayikathomr
ពញា: ponhea
អណ្ដាតត្រកួត: aandattrakuot
កងដៃ: korngdai
ឡាវ: Laos
អក្សាន្តី: aaksanti
ជើងការ: chaungkar
សជី: sachi
ក្រំ: kram
ទម្រន់: tomron
វិនាសនៈ: vineasaneak
ការន្ត: karontor
ឃ្លួប: khluob
រំភើយ: rumphauy
ដាវ: dav
ខណ្ឌខាប់: khandkhab
ស្ងួត: sgout
ជាលី: cheali
សង្ហារិម: songhearim
ប្រឹថពី: brirthapi
ល្មូន: lmun
តណ្ហា: tonha
អាស: aas
ហៃមវតី: haimakvotei
ល្មេច: lmech
រលែក: roleaek
អនុពាល: aanupeal
ឆ្លងព្រះបាទ: chhlangpreahbat
កំណល់: kamnol
សករណីយ: sakaroneiy
ធ្ងាង: thngeang
នរជេដ្ឋ: norochedthor
លិង្គ: lingkor
ញច់: nhoch
អន្ទោល: aantoul
សំណេះ: samneh
ក្រាមទាល់: kramtorl
អមរា: aomorea
សោប៉ត្រោ: saopatrao
រំអិល: rom el
ឡូរី: lory
ឈាវ: chheav
ផោដ្ឋព្វារម្មណ៍: phaodthpvearmmon
ឧបរោធ: ubarouth
កង្ហារ: konghear
បញ្ចុះសព: banhchuhsap
សុតៈ: sotak
ចំនួន: chomnoun
កៀរ: kier
ផ្លាង: phlang
អសុន្ទរ: aosontor
ច្រឡូក: chralouk
ងោចៗ: ngouch
អំពែ: aampeae
សន្ធាប់: sontheab
សខិលភាសិនី: sakhelpheaseni
ត្បក: tbak
ផ្លេក: phlek
អុះ: aoh
រវូប: rovub
ស្រះទឹក: srahtuek
រួយ: ruoy
ផ្សូរផ្សង: phsourphsang
របោម: robaom
ពេលណា: pelna
ហៃមវតី: haymakvatey
អាវរងា: aavorongea
ស្មុយ: smoy
ធនាគារ: thoneakea
ចក្របាណី: chokrobanei
សេដ្ឋ: sedthor
អវិហា: aaviha
មាឌ: mead
លោកុត្តរ: loukottor
វិលុម្បក: vilumbok
ភោជនាគារ: phouchneakear
ផ្ទប់: phtob
សើច: serj
រតិ: rote
ពិធីករ: pithikor
រំជើប: romchaub
កុម្ភណ្ឌ: komphondor
ព្រះរាជា: preahreachea
ការយល់: karyol
ល្វេងល្វើយ: lvenglvauy
រង្គើ: rongkau
ត្រងោល: trangoul
អំណរ: omnor
ប្រួល: proul
បេះ: bes
ថ្ងួច: thnguoch
ក្បូន: kboun
មា: mea
ហ្នឹង: nung
ចេតសិក: chetsek
បន្ទំ: bantum
សស្លោ: saslao
ចម្រេះ: chomreh
ឆវី: chhovi
ហ្វឹកហ្វឺន: hvirkhvirn
រឆេចរឆូច: rochhechrochhouch
តំនឿន: tamnoean
អយ្យា: aoyyea
ក្រឺត: kreut
នគររាជជើងព្រៃ: nokorreachchaungprey
ព្យាករណ៍: pyeakaron
ចម្រាស: chamreas
អវិចី: aavichei
លំ: lum
ប្រជួប: brochuob
នាល: neal
ចេតិយ: chetey
ក្រពត: kropot
ពីរបី: pibey
អណ្ដើកមាស: aondaeukomeas
វធូ: vothu
ការកម្សាន្ត: karkomsan
សម្ភោទ្យ: samphoutyor
ក្មេក: kmek
ជ្រុល: jrul
ព្យូហៈ: pyuhak
កន្ទ្រោក: kantrouk
ច្រឡោះបោះ: chralaohah
សម្ទុះ: somtuh
ពោធិសត្វ: pouthisatvar
ត្រយង់: trayong
តក់: tak
តម្កើង: tamkaung
បរមត្ថវិជ្ជា: boromotthovichchea
ពងក្រពើ: pongokrapau
ហិណ្ឌូ: hindu
អបហារ: aobohar
ទំព័រ: tumpor
ទិនករ: tinokor
ច្រហោង: chrahaong
រប៉ែករប៉ាយ: ropaekropay
ទាន់: toin
រម្លុប: romlub
ដែល: del
ថងមួន: thangmuon
ថ្វីបើ: thveibaeu
អកអំបុក: aakaaambok
លក្ខណា: lokkhana
បង្ហាត់: bangheat
កណ្ដាច់: kondach
ថែវ: thaev
ប្រវេ: brave
ភត្តាវសាន: phottavosan
បន្សល់: bonsol
រ៉: rh
ខ្សៀ: khsie
ឆ្កួតជ្រូក: chhkuotchruk
ព្រែក: preaek
ក្រសាវ: krasav
សេង: seng
រស្សកសត្ត: rossakasatt
ច្រងាម: chrangeam
ភ្នែកជញ្ជីង: phneaekchonhching
បរិត្ត: boritt
ព្រហួញ: prohuonh
ពិភេទក៍: piphetok
ស្គាល់: skol
រំជួល: romchuol
ចក្របាណី: chakrabanei
បុល: bol
ឧស្សវៈ: ussaveak
កូដោបាយ: koudaobay
អួត: auot
អសម្ភិន្ន: aosomphinn
ពពើម: popaum
ទិនិកា: tinika
លេបការ: lebakar
វាលុកចេតិយ: vealukchetey
ប្រកាក់: brakak
ភស្តុភារ: phostophear
ទាស់: teas
ខក់: khak
ប្រៀប: breab
ត្រសែត: trasaet
ប្រហាក់: brohak
ឈីលី: Chile
ប្រជែង: brocheng
សខិលភាសិនី: sokhelpheaseni
ភាណុ: pheano
បែបបទ: baebobot
ទងត្រសក់: tongtrasok
បង្ហាញ: bonghanh
ដង្ខៅ: dangkhov
ទប់: tub
ការក្រ: karkror
មត្តញ្ញុតា: mottanhnhuta
ហុកសិប: hukseub
រយីករយោក: royikroyouk
ពោនស្វា: pounsva
សីលធម៌: selthor
ព្រា: prea
គិរីវង់: kirivong
ក្រោធ: kraoth
ដើម្បី: dermbie
ប៉ាកកា: bakaka
អវទាន: aavotean
ដោម: daom
រញ៉ែ: ronhae
ជតារាសី: chotareasei
ចេចចាច: chechchach
កម្ពល: kampol
បំភ័ន្ត: bamphoantor
បរិភាស: boripheas
ត្រោកយោល: traokyoul
ត្រុដ: trod
ឧបក្រឹត្យ: ubokroetyor
ឱទក: aotok
ឧត្បល: utbal
ចែងចា: chaengcha
ស្គឺ: skeu
ម្ចាស់ផែនដី: mcheasaphaenodei
បេលី: Belize
កាំប្រមា: kambrama
ប្រដោល: brodaol
ផ្គរ: phkor
អណ្ណាម: aannam
កក់: kokk
អនិយម: aoniyom
បង់ក: bongkor
អ៊‌ឺះ: aeuah
សតេកិច្ឆៈ: satekechchhak
អលជ្ជាភាព: aolochcheapheap
ពភ្លាក់ពភ្លើ: pophleakpophler
បាក់ស្បាត: bakasbat
អធម៌: aathomr
វង្សា: vongsea
ហែ: hae
នាកាល: neakal
កាយសម្ផស្ស: kaysomphoss
ក្រពាត់: krapeat
ទិព្វ: tipvor
ស្រមេះ: srameh
អត្ថបទ: aatthabat
កំណើល: kamnaeul
ត្រឡុំ: traloam
ពន្លៃ: ponley
អ្នករក្សា: anakaroksa
ប៉ោល: baol
ទួត: tuot
សុខចិត្ត: sokhchett
រសៀល: roseal
អភ្យាគត: aophyeakot
ហត្ថិគោបក: hathekoubakak
លំហ: lumhor
ក្សត្រិយានី: ksatreyani
ស៊ីរី: Syria
នវុតិ: novute
ចំណាប់: jomnab
បាល័ដ្ឋ: baloadthar
ឧគ្គហនិមិត្ត: ukkohanimitt
សូត្រ: soutrar
កំហូច: komhouch
សេនីយ៍: senei
ករណីយកិច្ច: karoneiykech
កលិយុគ: koliyuk
ឆ្ងិត: chhnget
កិប: keb
គរុកោសល្យ: korukaosal
អាទិត្យ: ah tith
ប្រផុត: brophot
ឪពុក: ov puk
ដង្កាវ: dongkeav
លហុកាបត្តិ: lhukabat
វាតវលាហក: veatvoleahok
សម្ពាយ: sompeay
រាហូ: reaho
ប្រឱប: bra aob
សុដន់: sodon
បៃមន់: baimon
វេរិនី: verini
ស្រតូវ: sratouv
ហេបៗ: haebhaeb
កោះសូទិន: kohsoten
កុង្សីយ៍សេនាបតី: kongseysenabatei
ខួរ: khour
អាណាប្រជារាស្ត្រ: aanabrcheareastrar
សំពឹក: sampuek
អនិមិត្ត: aanimitt
ឈើច្រត់: chhauchrat
រំលើង: rumlerng
រីង: ring
កេល: kel
ប្រអួល: bro oul
អូស្រ្តាលី: australia
ឆ្កុយ: chhkoy
អយោធ្យា: aayouthyea
អន្តេវាសិន: aanteveasen
ហើប: heub
ថ្លុក: thlok
ប្រទាស់: broteas
ហ្មង: hmorng
រួចរាល់: rouchreal
ខ្ទើយ: ktery
ចំពុះទុង: champuhtung
ឡោ: lao
ពភឺស: pophueus
អស្វត្ថព្រឹក្ស: aasvatthaprueksar
រំពៃ: rumpey
រអេតរអត: roaetoroaot
ពង្វាង: pongveang
រិះគន់: riskon
យថាផាសុក: yothaphasok
គីឡូ: kilo
ឡើយនីលែង: laeuynyleng
វាសនា: veasanea
រខេក: rokhek
ឃោរ: khour
អ្នកនិពន្ធ: anokoniponthor
ត្លុម: tlom
សិប្បករ: sebbakar
ការិយបរិច្ឆេទ: kariyborichet
ចាក្រពាក: chakrapeak
ក្រមាល់: kramal
វិកតិកាសនៈ: viktekasaneak
អវយវៈ: aovoyoveak
ត្រអាល: troaal
ច្រណែន: chronaen
ព័រ: por
អឃ៌: aokhr
សព្ភិ: sopphi
ប៉ផ្អេះ: bophaeh
កុញ្ជរាធិបតី: konhchorreathibtei
ជំទង់: chumtong
ច្របូញ: chrabounh
អព្ភូត: aopphut
ហៃសាន: haisan
ហេមវ័ន្ត: hemvaon
អនុផល: aanuphal
ហត្ថិបាល: hotthebal
វេស្សន្តរ: vessntor
សហោទរ: sohaotor
ដូចម្ដេច: douchmdech
ខ្ចី: kjey
បញ្ឆុក: bonhchhuk
មហយ្យកា: mohoyyoka
ស្បែប: sbaeb
ពំនូក: pumnuk
សចិត្តកៈ: sachettakak
មាតុ: meato
ខ្វក: khvok
អាល័យ: aaley
ពោង: poung
អក្សរ: aaksar
គ្រីប: krib
ប្រខាំ: brakham
ខាងស្ដាំ: khangsdam
កងធំ: kongthom
កកែកកកោក: korkaekkorkoak
ផស្សាហារ: phasahar
ក្រឡេច: krolech
អគ្គិភ័យ: aakkiphey
រំពេច: rumpech
អនុជ: aonuch
ហេតុបច្ច័យ: haetbajchai
ស៊ែម: saem
បាក់ជ័របាយ: bakachoarobay
តេជោពល: techoupol
មុត: mut
ឧបហេតុ: uboheto
សង្ខោភ: sangkhouph
រុន: run
ហៅ: hav
សម្លាប់កង្កែប: samleabkngkeaeb
ផ្ចង់: phchong
ប្រណិត: bronirt
ទាក់ទង: teaktong
ប្រឡូក: prolok
អាចារ: aachar
ដំណង: damnang
គ្រកៗ: krok
ប្រតិសន្ធិ: brotesonthi
តៃហោង: taihaong
លលាដ: lolead
ខុន: khon
ប្រពាយ: bropeay
អណ្ឌៈ: aondak
ត្រដោកជើងចែវ: trodaokchaungochaev
វាយទណ្ឌ: veaytondar
ក្លង: klang
ញាស់: nheas
សំរាប់: samreab
បារាយណ៍: bareayon
សឿង: soeang
ផឺត: pheut
ប្រួម: bruom
ទួញ: tuonh
តៀន: tien
វូប: vub
សារពាង្គ: sarpeangkor
ឡឹមៗ: loem
ស៊ប់: sab
អាចម: aachom
វិក្កយបត្រ: vikkyobatrar
អន្តយ: aontoy
តារាង: tareang
ប្រកាំង: brokang
ច្រវេះ: chroveh
ថ្នាល: thnal
អគ្និ: aokni
ផ្អក: phaak
អធិមោក្ខ: aathimoukkhar
ខ្សេវ: khsev
និគ្គហិត: nikkohet
ល្ងាន់: lngean
ចំតែ: chamtae
ឋបនីយវត្ថុ: thabaniyvottho
អនិមន្តន៍: aonimnton
ប្រេតតិរោក: bretterouk
ខ្វាន់: khvan
អមនុស្ស: aomonuss
ត្រលប់: tralob
ស្មិង: smeng
ទុព៌ល: tuprl
ស្ដាយ: sday
សម្ទើញ: samtaunh
កក្អាក: kok'aak
សាសង: sasong
អនន្ត: aonontor
ជាតូបនីយកម្ម: cheatoubniykomm
ទុរា: turea
អម្ពុ: aompu
អាគតសញ្ញា: aaktasanhnhea
មុខតែ: mukhotae
បិណ្ឌបាតប្បច្ច័យ: bendbatbbochchai
អនុបមេយ្យ: aonubmeyy
កម្លាំង: komlang
វនរ័តន៍: vonoroaton
មហល្លកៈ: mohallokak
រំលិច: rom lix
ស្រួច: srouch
វរ: vor
ឧបាយាស: ubayeas
ហោត្រ: hoattrak
ទុព្ភិក្ខសម័យ: tupphikkhsomey
ស្លឺត: sleut
យោបល់: yobol
ខ្នល់: khnal
មេដឹកនាំ: medoekanoam
សមាទាន: someatean
ផ្គត់: pkut
សុចិត: sochet
បណ្ដោះបណ្ដៃ: bandaohndai
ននះ: noneah
វីជនី: vichoni
ចតុកោណ: chatokaon
ទេ: te
អយ្យកោ: aoyyokao
ប្រវត្តិសាស្ត្រ: brovottesastror
តក្ក: takk
ផ្សូរផ្សង: phsourphsong
សម្ដេច: somdech
និគ្រោធ: nikrouth
ស្ដម្ភ: sdamphor
រវែង: roveaeng
សព៌ាង្គ: sapreangkor
រងួយ: ronguoy
អកតវេទិនី: aokotovetini
មហស្ចារ្យ: mohoscharyor
សង្កៀរ: songkier
ត្រសោល: trosaol
អាស្វាស: aasvas
ស្រាយ: sray
ក្រឡាតបៈ: krolatobak
ផល់ស្មា: pholosma
ធ្លាក់: thleak
បាទុក: batuk
មួយ: muoy
ក្រឡាភ្លើង: krolaphlaung
អញ្ចឹង: anhjeng
កំប្រេវ: kambrev
បណ្ដេញ: bondenh
ហ៊ប: hab
អាទ្យូន: aatyun
សង្ខកុដ្ឋិ: songkhokodthe
ឧបលិង្គ: ubalingkor
ស្រួល: sroul
ស្រវាស្រទេញ: sroveasrotenh
រម្លូត: romlut
ធនាធិការី: thoneathikari
តាលុជៈ: talucheak
ប៉ប៉ប់: bapab
តបស្សី: tobossei
អន្តរត្ថវាចក: aontorotthoveachok
រឃុងរឃាំង: rokhungrokheang
បច្ចន្តជនបទ: bachchantochonobat
ទើកមមើក: taukmomauk
ហិនហុន: henhon
អង្គា: aangkea
បកតិសំខ្យា: bakatesamkhya
កំប៉េវអារ៉េវ: kampevaarev
ម្រឹត្យូវ: mruetyouv
ស្នុំ: snoam
អន្វេស: aanves
ស្រមណី: sramoney
ឱកាក: aokak
កដប: kadab
ខេត្ត: khaet
បញ្ចពិធ: banhchopith
ភ្ងើយ: phngery
បន្លុយ: banluy
ឡូយថូយ: louythoy
ពពែភ្នែក: popeaephnek
ហ៊‌ី: hi
សេចគ្រេច: sechkrech
អាត់តែ: aatatae
ចតុ: chato
វិរតិ: virote
តំណែង: domnaeng
ពាំង: peang
ស្រលឹប: sralueb
នាសន: neasan
បទានុក្រម: boteanukrom
ស្វយម្ភូ: svoyomphu
កេរ្តិ៍: ke
មាតុគ្រាម: meatokream
ថូន: thoun
ក្រពេញ: krapenh
បង់ម្សៀត: bangmsiet
មោហន្ធ: mouhonthor
មេទ័ព: metoap
យុគ: yuk
នាងនួន: neangnuon
ហិម: hirm
ហ៊ឹ: hoe
ស្ទើង: staeung
រដេមរដម: rodemorodom
វើកៗ: vauk
អនាគារិយ: aaneakeariy
បំផ្លាង: bamphlang
សង្កៀត: sangkiet
បង្ហត់: bonghot
រហេងរហាង: rohengrohang
យក: yok
ខន់: khan
ផ្កាកម្រង: pkarkomrorng
ជើងស្រាពក៍: chaungsrapok
ម៉ូង: mong
លំពែងព្រះរាម: lumpaengpreahream
ចំណោល: chamnaol
បង្ការ: bongkea
គ្រហុប: krohob
បង្អរ: bongaor
អាយ៉ង: aayong
រំគងកែវស្នេហ៍: rumkongokaevsnaeh
ហេម្បូពាន្ត: hembopean
ស្អប់: s'aob
ជំនាញ: jum neanh
ស្រមឹម: sramuem
ក្លិន: klen
ពពែ: popeae
ក្រិស: kres
ចាបព្រៃ: chabprey
មញ្ជិកា: monhchika
កាច់សង្រែក: kachsngreaek
ក្រមម: kramom
អលសភាព: aolosopheap
ប៊ូតង់: Bhutan
សត្រូវ: satrouv
ប្រជុំ: projum
កម្រមាន: komromean
រវើម: rovaum
មក្ខជន: mokkhachon
វេះវៀន: vehvien
ប៉ប៉ុប: bopob
ស្រយុត: sroyut
អន្ទិល: aantil
អាសីពិស: aaseipis
ពនាល័យ: ponealai
ជួសជុល: chuoschul
កុសលកម្ម: koslokam
សន្ទៃ: sontey
ឱច្ចាសន៍: aochchason
តាករខាក: takrokhak
អមិត្ត: aomitt
គួរ: kour
ឆកាមាវចរ: chhakameavchar
ប្រណម្យ: pronorm
ជើងគក: chaungkok
វិបល្លាស: viblleas
ជ័យ: chey
អក្ខទេវិនី: aokkhotevini
ខ្ពង់រាប: khpangreab
កាកនាសូរ: kakneasour
ត្រងាល: trongeal
ព្រះឥសូរ: preah eysou
ស្រណោះ: sranaoh
ហ្វៅ: hvau
វាស់វែង: vorsveng
អគារ: ah kea
សំឡែះ: samlaeah
ជើងវត្ត: chaungvott
កក៌ដ: kakrd
ឍុណ្ឍិ: thunthe
ទាស: teas
ប្រថំ: brathorm
ពង្វក់: pongvok
អធិលោក: aathilouk
រនោង: ronong
ថ្លៃ: thlai
ពិន្ទុ: pintuk
ត្រយង់: troyong
បូរាណ: bourean
កញ្ជ្រូក: kanhjruk
អង្កើក: aongkauk
អ្នកចម្រៀង: anokochomrieng
បុគ្គលិកលក្ខណៈ: bokkliklokkhonak
ដំណំ: damnam
ធម៌: thor
កញ្ចប់: kanhchob
បម: bam
រតនគីរី: rotanokiri
ឆ្កួត: ckut
ជើងទ្រនាប់: chaungtroneab
ប្រសិន: brorsirn
អសុទ្ធិ: aosotthi
ទុងៗ: tung
បទល្មើស: batolmaus
ផ្ការំដួល: phkarumduol
សម្រាស់: samreas
របោយ: robaoy
ហួងហែន: huongheng
អាយោគ: aayouk
បាវព្រាវ: bavpreav
យូរប៉ុន្មាន: yurbonmean
ង៉ឺតៗ: ngueut
ក្ស័យ: ksai
អបលាភ: aoboleaph
ឧឡុរាជ: uloreach
ការុង: karung
លំបិន: lomben
វាល្មីកៈ: vealmikak
អង្គឺអង្គែ: aangkueuangkeae
តម្កល់: tamkol
ញ៉ែ: nheae
ដង្ហែ: dongheae
ហូនហ៊ក់: honhork
យូរណាស់: yurnas
ច្រឡឺម: chroleum
សហោទរ: sahaotor
ខ្ចប់: khchab
ឧបវាទិនី: uboveatini
ប៉ាកណាម: bakonam
បេឡារុស្ស: Belarus
ថេរានុត្ថេរៈ: thereanutthereak
បរាមុខ: boreamukh
ទំនាក់: tumneak
ពិជិតរដ្ឋ: pichitrodthor
អទិស្សមាន: aatissamean
និមន្ត: nimontor
ជនានុគ្រោះ: choneanukruoh
តំណឹង: tamnoeng
ឧកហ្លួង: ukohluong
វណ្ដ: vondar
មេកន្ទ្រាញ: mekntreanh
ស្អែក: s'aek
ស្រឡើ: sralaeu
មេថុន: methon
បង្គរ: bongkor
ហត្ថិគោបក: hotthekoubok
ត្បែង: tbaeng
មើល: ml
ស្វ័យភាព: svaipheap
ស្បាន់: sban
ភារធារី: pheartheari
គំនូរ: kumnur
ភទ្របទ: photrobot
អបាទក: aobatok
គាំពារ: koamr
ឃ្មុំ: khmum
ព្រហ្មលិខិត: prohmalikhet
កម្លា: kamla
ជគត: chokot
កញ្ច្រឹក: kanhjruek
បញ្ចូល: pjol
យ៉ាដាំ: yadam
រម្យទម: romyotom
ប្លូច: plouch
បណ្ដៅ: bandau
សស្សុ: sosso
ស្វែង: svaeng
ហត្ថកម្ម: hotthokomm
អចេលកៈ: aachelokak
អនុវត្ត: anuvath
ប្រុន: brun
សាវទាវ: savoteav
ត្រុយ: troy
យាគូ: yeaku
រណ្ឌកព្រឹក្ស: rondakaprueksar
តនុជ: tonuch
វង្វេង: vongveng
ធាត់: thot
ជាន់: jorn
ត្រគាក: trakeak
មង្គលទេពាចារ្យ: mongkolotepeachar
មិច្ឆា: michchha
រតនៈ: rotaneak
កន្លងខ្នប់: kanlongkhnab
ចង្កៀង: chongkieng
កល់: kal
កម្លៅ: komlov
ស្រកា: sraka
និវេសនដ្ឋាន: nivesnodthan
បន្តិច: bon tech
ពោះពុង: puohng
តម្រេក: tamrek
ប្រចែង: brochaeng
រន្ធគវេសី: ronthokovesei
រ៉ាំ: roam
ផ្កាឈើ: phkarchher
ពាហុសច្ច: peahosachch
រុំកោះ: romkaoh
ហាយនៈ: hayonak
អវស្រ័យ: aovosrai
ដំណឹង: dom nerng
សម្រុះ: samruh
ពភ្លែល: pophleael
សក្ដិសម: sokdesom
ជ្រែង: chreaeng
សត្តប្បករណាភិធម្ម: sattabbakaronaphithomm
ស្រលូង: srolung
ទារិកា: tearika
ខ្មង: khmong
សស្រ៊ុប: sasrob
មន្ត្រី: muntrei
ហ៊ប: horb
ម្ង៉ៃ: mngey
រឿង: rg
អម្ពិលប្រក់ផ្លែ: aompilbrokophlae
លោហ: louh
សម្រាស់: somreas
ចតុរមុខ: chatoromuk
សក្ការសម្មាន: sokkarsommean
មាក់បាត: meakobat
បំពោរ: bampour
សមូហ: samuh
ហ្មត់ចត់: hmatchot
ហ៊ុមហ: humhor
ធ្មេញកណ្ដូប: thmenhkondoub
ធនបត្រ: thonbat
ហ៊ូពូ: hupu
សុរិន្ទាធិបតី: sorinteathibatei
ភតិការក: photekarok
ក្អួត: kout
ជើងរមាំង: chaungromeang
អធរមាន: aothoromean
គគុល: kokul
កំភ្លឹង: kamphlueng
ក្ដៀន: kdien
ស៊ីឡាំង: seilang
សាកសួរ: sakasuor
បង្គៅ: bongkov
បន្តូច: bantuch
កម្ជាប់: kamchab
តារាសាស្ត្រ: tareasas
សំវេគ: samvek
ក្រែងតែ: kraengotae
អារកូដ: aarokoud
សម្លឹង: somlerng
ថ្លា: tla
ល្ហិតល្ហៃ: lhitlhey
ម្ហូប: mhub
ល្គាយ: lkeay
នាមគ្គហណមង្គល: neamkkohanamongkol
ប៉ប្លឺម: bableum
ព្រះស្ដែង: preahsdaeng
ម្សាញ់: msanh
ស៊ុម: som
បរមាភិធេយ្យ: baromeaphitheyy
ស្រមណី: sromonei
រងៃ: rongey
ដង្ហិត: danghit
វីវរ: vivor
ស្រិត: sret
ពិរាល័យ: pirealey
សាបតៃយ: sabotaiy
ការធានា: kartheanea
ការទន្ទ្រាន: kartontrean
ទំនេរ: tomne
ថ្មើរ: thmaeur
ជម្ពូទ្វីប: chomputvib
ក្បត់: kbot
វិនាសនៈ: vineasoneak
ឡឺនឡង់: luenlorng
នេមិរាជ: nemireach
សង្កែភ្លើង: sangkeaephlaung
ផ្ញុច: phnhoch
រទោងៗ: rotoung
ស្រព: srop
ទទឹម: totuem
ថ្ពឹន: thpoen
អនត្តា: aanotta
បច្ចយសន្និស្សិតសីល: bochchoyosonnissetoseil
សើកប៉ប្លើក: saeukbablaeuk
អចេលកៈ: aochelokak
ស្រី​លង្កា: Sri Lanka
ភ្នែក: pnek
ស្បង្ក័ជ: sbangkoach
លំហើយ: lumhaeuy
ក្ដាន់: kdan
ទព្វៈ: topveak
ឃ្មាមៗ: khmeam
ស្រទន់: sraton
សុរសភោជន: sorsophouchon
សម្បូងសង្រូង: sombungsongrung
ប្រលួតលាក់: broluotleak
ស្គន់ទំនប់: skonotumnob
វៀច: viech
មេឃ: mekh
សមុទាយ: samuteay
ការអនុញ្ញាត: karanunhat
បញ្ឈែល: bonhchheael
តេជានុភាព: techeanupheap
ច្របាច់: chrobach
ព្រើល: prerl
លង្ហិន: longhin
ស្បៀង: sbieng
ផ្កាដំបៅ: phkadambau
ឱភាស: aopheas
ចងចាំ: chongcham
កណ្ដាប់ដៃ: kandabdai
ក្រពើ: kropau
អន្លីង: aanling
សម្កូញ: samkunh
វិច្ឆិកា: vijekka
ប៉ផ្អាក់ប៉ផ្អើក: bophaakopophaaeuk
ជនាធិបតី: choneathibotei
និយាយ: yy
ឆ្អែត: chhaaet
បង្គៅ: bangkov
អង: aong
ហ្មឺន: hmeun
ឆមាស: chhameas
ជីពុក: chipuk
កាកណិក: kakonek
ការបង្កើត: karbangkaut
វិចារណកថា: vicharnokotha
ត្រថុក: trathok
អលក្ខី: aalokkhei
ដំបូន្មាន: dambounmean
ត្រដោកក្ដារ: trodaokkdar
ភាគិនេយ្យា: phiekineyyea
អរហា: aaroha
រាន: rean
រលឹក: roluek
អធិកអធម: aothikoaothom
ខូចឡាន: khouchlan
ផ្ចឹក: phchoek
ស្លែងដងដឹង: slaengdorngdirng
តិលក: telok
លេង: leng
កំពាយ: kampeay
ហ៊ើយ: haeuy
ជួន: chuon
គត់មត់: kotamot
ខ្ទេច: khtech
លៅ: lov
ប៉ិតប៉ុត: betbot
ថ្លោះធ្លោយ: thlaohlouy
ដង្គន់: dongkon
សំគែម: samkeaem
ពណ្ណរាយ: ponnoreay
បង្អត់: bongaot
បណ្ណារក្ខ: bonnarokkhor
សណ្ដូក: sandouk
កំញាន: kamnhean
ន័យ: nei
ហ្វឹក: veuk
សព៌ាង្គ: sopreangkor
និពទ្ធកុសល: niptthokosal
អម្នេញ: aamnenh
អនុផល: aonuphol
ផ្អូចៗ: phaouch
រម្លោក: romlouk
ម៉េច: mex
ហេរញ្ញិក: haeranhnhirk
រំប៉ើក: rompaeuk
ល្ងាច: lgech
អាបាយិកសត្ត: aabayiksatt
តោមរធរ: taomorothor
ខ្ទីត: khteit
